Student_ID,Name,Email,Course_Code,Midterm,Final,Attendance
S030,Andrew Baker,abaker381@university.edu,IQ101,80,91.7,83
S096,Cynthia Freeman,zguzman@example.net,IQ101,105,75.4,96
S032,Nicole Gutierrez,,IQ102,58.4,61.3,78
S033,Heather Conley,hconley730@university.edu,IQ101,87.2,97,93
S034,Eric Perez,eperez57@university.edu,IQ101,73.9,92,93
S035,Debra Phelps,dphelps106@university.edu,IQ101,80.4,115,99
S036,SAMANTHA LEE,nicholasrodriguez@example.org,IQ101,80.4,99.5,100
S037,Andrew Cummings,acummings154@university.edu,IQ101,74.5,99.9,92
S038,Rachel Church,courtneycohen@example.com,IQ101,35.7,89.5,83
S039,John Simmons,jsimmons938@university.edu,IQ101,76.3,73.8,88
S040,Denise Morgan,dmorgan515@university.edu,IQ101,76.4,50.2,70
S041,Lynn Baldwin,lbaldwin48@university.edu,IQ101,71.7,83,81
S042,Michael Porter,mporter866@university.edu,IQ101,97.2,70.7,84
S043,Carmen Scott,cscott299@university.edu,IQ101,62.9,71,83
S044,Deanna Garcia,dgarcia606@university.edu,IQ101,88.7,82.6,90
S045,JASMINE YANG,atkinslori@example.org,IQ201,67.1,85.2,80
S046,Kelly Edwards,dphelps106@university.edu,IQ102,76.5,91.6,unknown
S047,Timothy Lara,alexanderbrian@example.com,IQ101,64.5,73.4,99
S048,Christine Fuller,,IQ101,69.1,57.5,N/A
S049,Karen Andrade,richardcatherine@example.net,IQ102,79.4,81.7,88
S050,Kristen Reyes,kreyes62@university.edu,IQ101,75.1,74.7,88
S051,Shannon Mullins,smullins238@university.edu,IQ101,53.8,72.1,85
S052,Christine Leon,cleon998@university.edu,IQ101,69.9,,90
S053,Daniel Allen,dallen404@university.edu,IQ201,72.6,83.7,96
S054,Daniel Peterson,shafferchristine@example.net,IQ101,103.2927885,80.4,79
S055,Pamela Heath,alexander73@example.com,IQ101,78.9,77,81
S056,CHASE MILLER,cmiller77@university.edu,IQ101,46.2,77.6,
S057,Mr. Kevin Garcia MD,mmd109@university.edu,IQ,75.9,112.4853896,85
S058,Heidi Ryan,hryan988@university.edu,IQ101,72.1,82.2,75
S059,MATTHEW MCKENZIE,jennygutierrez@example.net,IQ101,74.5,61.6,80
S060,Dale Proctor,victor09@example.com,IQ101,,88.5,83
S061,Michael Anderson,kaitlyn49,IQ101,,65.3,97
S062,Joshua Stephens,jstephens307@university.edu,IQ101,96,58.4,91
S063,NATALIE DAVIS,ndavis464@university.edu,IQ101,83.8,108.6663788,90
S064,Todd Reyes,treyes813@university.edu,IQ101,60.1,70.1,97
S065,Kaitlyn Murphy,,IQ101,76.5,71,87
S066,Thomas Winters,harold37,IQ102,51.7,79,92
S067,Michael Parks,mparks597@university.edu,IQ201,59.1,84.6,87
S068,Jasmine Harmon,robertsondouglas@example.net,IQ101,110,99.7,91
S069,BRANDON PEREZ,bperez868@university.edu,IQ101,63.3,73.5,82
S070,Brandon Smith,bsmith173@university.edu,IQ101,87.2,60.8,64
S071,Heather Johnson,hjohnson392@university.edu,IQ,78.4,,87
S072,Christopher Mooney,cmooney287@university.edu,IQ101,50.9,80.6,100
S073,Jacob Erickson,jerickson663@university.edu,IQ101,78.9,88.9,97
S074,Linda Wright,lwright287@university.edu,IQ101,56.4,59.5,unknown
S075,Tammy Bennett,lisahodge@example.org,IQ101,82.8,82.2,98
S076,Austin Gray,agray392@university.edu,IQ102,78.8,82.9,100
S077,Cynthia Watts,cwatts935@university.edu,IQ101,64.8,81.3,89
S078,Jennifer Mccoy,jmccoy612@university.edu,IQ102,79.4,68,90
S079,Tiffany Jackson,tjackson484@university.edu,IQ101,102.9866177,84.6,82
S080,Chelsea Collins,kaitlynwilliams@@becker-rodriguez.biz,IQ101,57.1,87.2,85
S081,William Jones,amberhutchinson@example.org,IQ101,60.4,89,94
S082,Eric Lewis,seanbradley,IQ101,92.4,,100
S083,BRANDON BOYLE,michellejohnson@example.org,IQ101,89.5,83.8,87
S084,Joshua Klein MD,brad06@example.com,IQ,87.3,104.5551018,83
S085,Darlene Gentry,darrenzavala@example.com,IQ102,71.3,67.4,88
S086,Joshua Freeman,jfreeman830@university.edu,IQ102,61.7,66.6,94
S087,Wendy Manning,wmanning93@university.edu,IQ102,73.8,82.8,74
S088,Jeffery Marsh,jmarsh340@university.edu,IQ101,79.2,89.6,65
S089,Kristen Harvey,amanda38@example.org,IQ102,75.2,98.3,82
S605,Rebecca Aguilar,raguilar601@university.edu,IQ102,71,116.0823683,76
S091,Austin Oneill,aoneill374@university.edu,IQ102,84.4,66,100%
S092,Bryan Burns,johnliu,IQ101,58.9,84.8,83
S093,Stephanie Schwartz,sschwartz972@university.edu,IQ101,71.6,88,87
S094,Adam Davis,adavis725@university.edu,IQ101,82.1,77,83
S095,Christopher Estrada,griffinmichael@@sandoval-scott.com,IQ201,62.3,,100
S096,,sarah.webb@example.com,IQ102,68.3,90,91
S097,Sheila Hoover,yharris@example.org,IQ,78.2,60.6,91
S098,CATHERINE WELLS,ksmith@example.com,IQ102,77.6,83.4,94
S099,Maria Castillo,chasedawn@example.org,IQ,61.7,80.2,77
S100,Hannah Hammond,vspears@example.org,IQ102,75.9,62,98
S101,Tyler Kaiser,christopher64@example.com,IQ101,80.4,85.9,87
S102,Shawn Roach,wbarr@example.org,IQ102,91.2,92.8,95
S103,Scott Cherry,scherry256@university.edu,IQ101,54.3,64.9,77
S104,Danielle Banks,mmd109@university.edu,IQ101,82.7,85.2,72
S105,,maria12.patel-williamson@.com,IQ101,,131.9382409,96
S106,Todd Marks,tmarks491@university.edu,IQ101,83.6,93.9,92
S107,Lisa Davis,ldavis463@university.edu,IQ101,89.3,87.1,79
S108,,diana.smith@example.com,IQ101,70.3,88.6,79
S109,James Thompson,jthompson385@university.edu,IQ101,63.4,74.7,99
S110,Elizabeth Weaver,james52@@espinoza-barrett.info,IQ101,67.7,79.1,76
S111,Andrew Hernandez,snyderryan@@noble-davidson.com,IQ101,109.7198785,51.9,100
S112,Carrie Scott,cscott55@university.edu,IQ102,85.3,55.4,79
S113,Stephanie Burton,sburton740@university.edu,IQ101,67.9,93.2,94
S114,Barbara Garcia,lwright287@university.edu,IQ102,76,62.9,85
S115,Jeremy Conrad,jconrad4@university.edu,IQ101,64.3,87.5,94
S116,Tammy Jones,tjones205@university.edu,IQ101,64,81,seventy-five
S117,KRISTEN KELLEY,cwarner@example.org,IQ102,75.7,68.9,83
S118,Sherri Lowe,slowe917@university.edu,IQ101,107.1591613,86.9,86
S119,Cheryl Nelson,cnelson907@university.edu,IQ101,44.6,80.6,88
S120,Christopher Macdonald,cmacdonald270@university.edu,IQ,65.1,89.9,78
S121,JARED RAMIREZ,cooklori@example.com,IQ102,63.1,-3,95
S122,Robin Bartlett,rbartlett995@university.edu,IQ101,,90.1,83
S123,Amy Smith,asmith536@university.edu,IQ102,57,73.3,86
S124,Kimberly Jones,lanehaley,IQ101,67.9,68.9,78
S125,Abigail Spence,ihammond@example.com,IQ101,101.4818136,83.7,62
S126,Raymond Griffin,krystal63@@fox.com,IQ101,56.1,,86
S127,Amber Miller,jenningsnorma@example.org,IQ101,106.832343,92.5,100
S128,Christopher Hansen,elizabethwhite@@dorsey.com,IQ101,52.2,71.2,96
S129,Caleb White,andreakemp,IQ101,94,68.1,88
S130,Richard Wilkerson,rwilkerson933@university.edu,IQ101,81.7,88.8,85
S131,Rhonda Hoffman,rhoffman566@university.edu,IQ101,61.1,77.2,88
S132,Robert Huang,michael97@example.com,IQ102,26.4,63.7,93
S133,Tammy Clark,tclark425@university.edu,IQ101,71.2,60.5,76
S134,Ronald Gonzalez,jamesvang@example.net,IQ102,,58,99
S135,PETER OLSON,hobbsjoseph@example.net,IQ101,68.4,79.8,95
S136,Melanie Sanford,donna29,IQ101,96.6,57.9,95
S137,Emily Barber,ebarber413@university.edu,IQ201,92.4,78.1,92
S138,Daniel Flynn,dflynn911@university.edu,IQ102,60.3,84.5,88
S139,James Johnston,jjohnston276@university.edu,IQ,78,69.6,95
S140,Jeremiah Griffin,,IQ101,76,72.6,94
S141,Karen Sanchez,ksanchez504@university.edu,IQ101,76.7,87.3,84
S142,Gloria Baker,briannaphillips,IQ201,98.8,60.7,82
S143,Michelle Lee,mlee747@university.edu,IQ101,106.9955006,50.7,89
S144,Ashley White,awhite844@university.edu,IQ102,72.7,86.2,100
S145,Samantha Peters,speters58@university.edu,IQ101,79.2,69.3,76
S146,,jeremy.bradshaw@example.org,IQ101,71.9,,73
S147,Danielle Buchanan,kreyes62@university.edu,IQ101,66.2,89.9,90
S148,Andrea Gutierrez,agutierrez34@university.edu,IQ101,80.4,68.3,89
S149,Nicole Gaines,ngaines844@university.edu,IQ101,88.5,82.3,90
S150,Jason Drake,brian19@@robinson-clay.com,IQ102,105,86.8,90
S151,RONALD SOSA,arthursmith@example.net,IQ101,62.6,70.2,86
S152,Christopher Horne,jfields@example.net,IQ101,86.2,86.5,100
S153,Ronald Burgess,rburgess51@university.edu,IQ101,74.7,79.6,72
S154,Brandi Bridges,amber95@@hubbard.com,IQ201,94.2,69.7,80
S155,Paula Watson,pwatson21@university.edu,IQ101,83.2,75.2,87
S156,BRIAN COLLINS,bcollins136@university.edu,IQ101,71.7,93.4,72
S157,Keith Hammond,khammond825@university.edu,IQ,87.4,89.4,86
S158,Christopher Cortez,ccortez917@university.edu,IQ,94.6,78.3,100
S159,Brian Ortega,bortega694@university.edu,IQ102,85.2,73.7,88
S160,,sarah.webb@example.com,IQ102,79.9,76.2,90
S161,CARLOS CLINE,ccline701@university.edu,IQ,76.5,86.3,75
S162,Allison Perez,hessryan@@nguyen.com,IQ101,62.7,107.2934219,82
S163,Joseph Foster,terrellkatherine@example.com,IQ102,59.9,61,84
S164,Roger Villegas,grahammatthew@example.com,IQ101,92.4,89.1,85
S165,Melvin Hull,mhull698@university.edu,IQ102,84.4,86.8,100
S166,Nicholas Nichols,,IQ101,105,65.4,94
S167,Michael Scott,bhernandez@example.net,IQ101,76.1,68.5,77
S168,John Daugherty,melissa23@example.net,IQ101,89.6,-3,90
S169,Michael Russell,mrussell654@university.edu,IQ102,62.6,73.5,93
S170,Rachel Palmer,rpalmer866@university.edu,IQ201,81.2,70.1,99
S171,Kelly Liu,kliu483@university.edu,IQ101,62.7,81.4,100
S172,Heather Murillo,gary02@example.org,IQ101,78.7,70.9,78
S173,William Johnson,wjohnson364@university.edu,IQ101,67.9,81.2,80
S174,Lori Wilson,moyerashlee@example.net,IQ101,53.3,58.3,75
S175,Thomas Parsons,tparsons55@university.edu,IQ102,64.2,75,86
S176,Shirley Wolf,normanjustin,IQ101,79.7,98.7,93
S177,Scott Cruz,brittanywelch,IQ101,87.9,75.8,98
S178,Diane Sanders,robertsmelinda,IQ101,74.7,64,87
S179,Rebecca Fields,ufisher@example.net,IQ101,74.7,74,85
S180,Carolyn Kelly,hcross@example.com,IQ102,79.8,,100%
S181,Amy Hurst,ahurst5@university.edu,IQ101,82.8,99.5,90
S182,Laura Montgomery,lmontgomery163@university.edu,IQ102,73.4,83.6,80
S183,Sarah Bennett,sbennett649@university.edu,IQ102,85.4,72.4,100
S184,Paul Coleman,pcoleman547@university.edu,IQ101,78.4,78.2,72
S185,Richard Patterson,rpatterson854@university.edu,IQ101,76.5,67.2,90
S186,Brian Wilson,,IQ101,75.4,85,100
S187,Bradley Hopkins,,IQ101,96.8,91.4,88
S188,Phillip Erickson,fisherroy@example.com,IQ102,107.2977369,67.3,86
S189,Caitlyn Benson,cbenson67@university.edu,IQ101,88.1,80.6,84
S190,Nancy Parks,reedkenneth@example.org,IQ101,107.847044,66.7,86
S191,Jamie Daniels,brandyberry@@zuniga.info,IQ101,62.4,69.6,100
S192,Melanie Crawford,mcrawford971@university.edu,IQ101,43.1,70.6,66
S193,Douglas Lee,dlee135@university.edu,IQ101,,80.1,100
S194,Kenneth Wolf,,IQ101,80.1,104.2663917,74
S195,KATELYN MARTIN,luke81@example.org,IQ101,89.3,69.9,85
S196,,zm.clean@example.org,IQ101,61.5,84.9,84
S197,Janice Mata,jmata111@university.edu,IQ102,55.2,103.6404227,94
S198,Claudia Mclean,,IQ101,92.7,71.4,72
S199,STEVEN YATES,syates561@university.edu,IQ101,49.3,97,93
S200,Julie Reynolds,jreynolds10@university.edu,IQ102,73.3,95.3,100
S201,Jerry Carr,jcarr621@university.edu,IQ101,51.1,69.6,74
S202,Mark Mclaughlin,davidchase@@sherman-wells.com,IQ101,75.1,78.7,90
S203,Kristina Moran,kmoran624@university.edu,IQ101,68.2,86.7,81
S734,MICHELLE HILL,mhill721@university.edu,IQ101,59,76,92
S205,Denise Gross,zamorapatrick@example.org,IQ102,76.8,85.2,88
S206,Jennifer Davis,jdavis92@university.edu,IQ101,85.7,62.3,82
S207,Cheryl Pierce,cpierce93@university.edu,IQ101,52,95.9,93
S208,Brian Hamilton,michelle97@example.org,IQ101,80,67.5,100
S209,Andrew Wilson,mark12,IQ102,98.3,79.6,86
S210,Erica Lewis,wendywallace@@mcdaniel-fowler.com,IQ201,92.7,115,95
S211,Jesus Lee,jlee872@university.edu,IQ101,105.9112189,102.5747718,75
S212,Shane Castaneda,xfreeman@@silva.biz,IQ101,71.3,91.6,78
S213,Danielle Foley,dfoley900@university.edu,IQ101,84.7,97.2,93
S214,Tonya Jones,tjones410@university.edu,IQ101,60.5,87.6,100
S215,Pamela Maldonado,richardsonsherry@example.org,IQ101,90.9,53.4,92
S216,Alexandria Bernard,abernard713@university.edu,IQ101,57.3,49.5,85
S217,Christopher Perry II,cii934@university.edu,IQ101,71,88,88
S218,Mary Kim,mkim389@university.edu,IQ101,97.5,79,75
S219,Shawn Cooper,sarah06@@gonzalez.com,IQ201,99.4,58.7,94
S220,ELIZABETH OSBORNE,eosborne909@university.edu,IQ101,49.4,77.2,97
S221,James Hicks,jhicks722@university.edu,IQ102,80.8,77.5,83
S222,Nicole Wells,kimberly04@example.net,IQ101,44,76.8,unknown
S223,HANNAH SWANSON,scott54@@townsend-green.info,IQ101,55.4,87.4,83
S239,Joseph Santiago,christopherjones@example.org,IQ101,80.5,64.8,91
S225,JAMES EVANS,jevans847@university.edu,IQ102,67.3,63.2,84
S226,Taylor Sanchez,tsanchez161@university.edu,IQ101,74.1,115,87
S227,Steven Marshall,smarshall770@university.edu,IQ101,60.2,85.1,100
S228,John Cantu,peter47,IQ101,67,66.9,86
S143,Danielle Estes,destes471@university.edu,IQ101,73.4,63.5,84
S230,Kyle Smith,ksmith324@university.edu,IQ101,66.7,61.2,82
S231,Tina Gilbert,ksanchez504@university.edu,IQ101,104.470877,78.5,95
S232,David Kim,,IQ101,,81,86
S233,Ernest Silva,esilva312@university.edu,IQ102,73.3,74.9,82
S234,Nicholas Cruz,ncruz350@university.edu,IQ101,84.2,88.6,100
S235,Steven Davis,sdavis574@university.edu,IQ101,67,69.9,100
S236,William Trevino,wtrevino464@university.edu,IQ101,70.9,45.8,82
S237,Amanda Cunningham,acunningham850@university.edu,IQ101,52.3,97.1,69
S238,Michelle Pena,cscott299@university.edu,IQ101,99.7,74.5,98
S239,Michelle Fletcher,anthonybauer@example.org,IQ101,83.6,82.4,81
S240,Devon Perez,dperez873@university.edu,IQ101,121.1832121,93.7,96
S241,Rebecca Reynolds,gordonscott@example.org,IQ101,73.1,64.6,68
S242,Natalie Kerr,daniel74@@herrera.biz,IQ101,50.9,80.8,seventy-five
S243,,neil.hoffman@example.com,IQ101,63.7,58.1,97
S244,Andrew Cunningham,acunningham544@university.edu,IQ101,,62.9,76
S245,Thomas Green,tgreen947@university.edu,IQ101,100.3071245,90.3,95
S246,Mr. Jacob Anderson,manderson749@university.edu,IQ102,74.9,98.7,88
S247,Cynthia Webster,cwebster330@university.edu,IQ102,76.2,65.9,78
S248,Shirley Rice,nclarke@@thomas-short.com,IQ101,,85.5,84
S249,Ralph Booth,tracy81@@wilson.info,IQ101,59.4,75.3,95
S250,Tammy Martin,sarah42@example.org,IQ,61.9,,89
S251,Alexandra Garcia,lwood@example.org,IQ101,88.9,104.731833,94
S252,Bradley Barnes,bbarnes640@university.edu,IQ201,54,85.9,100
S253,Virginia Guerrero,reidwilliam,IQ101,65.2,71.2,72
S254,Anthony Bishop,abishop653@university.edu,IQ101,66.1,65.9,100
S255,Daniel Brandt,dbrandt585@university.edu,IQ101,75.7,66.4,89
S256,Nicholas Gutierrez,flara@example.com,IQ101,79.1,77.3,79
S257,Robert Hernandez,lisahodge@example.org,IQ101,71.4,65.3,75
S258,John Brown,jbrown805@university.edu,IQ101,66.3,88.6,86
S259,Jordan Johnson,christopher51@example.net,IQ,82.5,64.3,97
S260,Nicole Smith,nsmith834@university.edu,IQ101,76.5,88.5,87
S261,Austin Bryant,abryant230@university.edu,IQ101,50,85.6,100
S262,BRADLEY CARR,butlerdawn@example.org,IQ101,65.1,86,73
S263,Lauren Rodriguez,davidsonphilip@example.net,IQ101,63.6,52.7,88
S264,Dennis Gibbs,james30,IQ101,50.6,78.7,75
S265,,,IQ101,78.9,65.3,92
S266,Jennifer Lewis,odouglas@example.org,IQ101,84.6,-3,97
S267,Julie Lewis,scoleman@@bennett.com,IQ201,74,61,84
S268,Zachary Taylor,ztaylor795@university.edu,IQ101,65.2,78.7,62
S269,Meredith Owens,elizabethscott@example.net,IQ102,62.1,72.6,90
S270,Holly Meyer,hmeyer42@university.edu,IQ101,90.1,69.9,92
S271,Christopher Nelson,anthonybauer@example.org,IQ101,87.5,62.2,92
S272,JOSHUA POWELL,jpowell331@university.edu,IQ101,82.9,98.2,100
S273,Courtney Davis,atkinsonphyllis@example.net,IQ101,37.9,66.8,77
S274,Bryan White,bwhite725@university.edu,IQ101,83.7,75.2,95
S275,Joseph Dean,jdean518@university.edu,IQ101,80.6,69.5,100
S276,Rebecca Ramirez,rramirez905@university.edu,IQ101,76.3,75.8,70
S277,Daniel Fisher,dfisher771@university.edu,IQ101,92.5,81.6,91
S278,Jenna Fitzgerald,davistimothy@example.org,IQ101,80.1,72.2,83
S279,Timothy Myers,tmyers658@university.edu,IQ101,67.7,71.9,87
S280,Mathew Diaz,zblake@@ball.com,IQ102,80.9,72.1,91
S281,Larry Daniels,vgonzalez,IQ101,79.3,107.0556112,83
S251,Michelle Robinson,david01@@grant.info,IQ201,88.1,73.4,81
S283,MICHAEL WARD,mward920@university.edu,IQ101,93,72.3,88
S284,Shirley Howell,showell995@university.edu,IQ101,44.4,107,77
S285,Kimberly Taylor,ktaylor687@university.edu,IQ101,46.9,73.1,100%
S286,Joseph Bailey,cassandramanning@example.com,IQ101,75.3,101.4701224,77
S287,Eric Garcia,orramy@@brooks.com,IQ101,79.9,74.9,95
S288,Lori Dunn,ldunn25@university.edu,IQ101,,47,77
S289,Alexandra Hayes,ahayes814@university.edu,IQ101,78.5,88.8,N/A
S290,William Gray,smithkelly@example.net,IQ101,52.8,94,95
S291,Tiffany Wheeler,twheeler399@university.edu,IQ101,80.1,72.2,93
S292,Brenda Garrett,bgarrett775@university.edu,IQ101,84.5,109.7897,unknown
S293,Gavin Moon,gmoon515@university.edu,IQ101,77.7,81.5,71
S294,Dean Lopez,dlopez784@university.edu,IQ101,68.1,66.1,81
S295,Mary Montgomery,mmontgomery161@university.edu,IQ101,87.5,66,100
S296,Brooke Robinson,denisebrown@example.org,IQ102,76.1,71.3,78
S297,Jared Morris,jmorris937@university.edu,IQ102,82.2,82.7,83
S298,Mary Ball,ktaylor687@university.edu,IQ101,90.6,70.9,
S299,Mary Stewart,mstewart404@university.edu,IQ101,71,64.3,93
S300,Charles Richard,stacey73@example.org,IQ101,68.3,83.3,96
S301,David Wilson,dwilson525@university.edu,IQ102,86.4,,85
S302,Eric Murray,emurray118@university.edu,IQ101,88,97,unknown
S303,Ashley Hart,timothyhobbs@@henderson.com,IQ101,81.2,104.2751414,82
S304,HEATHER RIVERA,hrivera298@university.edu,IQ101,63.4,60.6,100
S305,Michele Reid,mreid975@university.edu,IQ101,48.3,98.9,100
S306,Mr. Michael Bennett DDS,mdds635@university.edu,IQ101,84.8,77.2,98
S307,Denise Jones,djones676@university.edu,IQ101,79.2,62.2,89
S308,Kyle Madden,kmadden324@university.edu,IQ101,111.6862797,79.8,seventy-five
S309,Craig Vasquez,mosleydavid@example.net,IQ201,76.6,88.2,80
S310,Edward Stephens,estephens696@university.edu,IQ101,82.2,81.1,seventy-five
S311,Samantha Peterson,speterson313@university.edu,IQ101,63.1,84.6,80
S312,Sheila White,swhite288@university.edu,IQ101,103.2303674,96.8,93
S313,Kimberly Frazier,kfrazier908@university.edu,IQ101,98.9,70.8,92
S314,Lindsay Doyle,nhernandez@@middleton-barajas.com,IQ101,60.2,76.2,100
S315,Kathryn Morrison,lsanchez@example.org,IQ101,75.8,93.3,95
S316,Craig Thomas,sullivanwendy@example.com,IQ101,49.6,99.4,73
S317,MARIA LEE,mlee913@university.edu,IQ101,72.6,72,99
S318,Joshua Melendez,jmelendez523@university.edu,IQ101,59.8,54.8,78
S319,Bradley Lang,blang988@university.edu,IQ102,87.3,79,84
S320,Terrance Villa,tvilla457@university.edu,IQ101,55.7,59.9,91
S321,David Carpenter,ufrazier@example.org,IQ101,70,101.3663014,100
S322,James Harvey,hudsonmark,IQ101,71.1,57,100
S323,Ashley Diaz,adiaz685@university.edu,IQ101,71.3,74.2,94
S324,Timothy Hendricks,thendricks466@university.edu,IQ,34.5,77.2,86
S325,Carrie Rogers,crogers992@university.edu,IQ101,71.5,-3,100%
S326,Jose Hill,jhill558@university.edu,IQ102,102.7343414,93.8,93
S327,Mark Fox,mfox920@university.edu,IQ,71,62.5,97
S328,Anna Mosley,wagnerdanielle@example.net,IQ101,113.600397,78.8,85
S329,Janet Bates,fmathis,IQ102,75.2,77.7,100
S330,Jack Davis,jdavis170@university.edu,IQ101,78,76,90
S331,John Vasquez,jvasquez162@university.edu,IQ101,66.4,70.3,93
S332,Allen Sanchez,asanchez831@university.edu,IQ101,74.5,70.4,unknown
S333,Robert Decker,rdecker605@university.edu,IQ101,64.3,79.5,95
S334,Steven Norton,snorton588@university.edu,IQ,71.2,99.1,92
S335,Kelly Rodgers,blankenshipvalerie@example.net,IQ101,35.2,93.3,96
S336,Kenneth Carlson,traceyroach@@hoffman.com,IQ101,93.7,49,82
S337,Christopher Brown,mauricejohnson@example.org,IQ102,69.9,72.8,82
S338,Dana Ramsey,caldwellcolleen,IQ102,53.9,67.1,77
S339,Joseph House,jhouse421@university.edu,IQ101,58.3,102.5317862,92
S340,Nicole Lynch,nlynch676@university.edu,IQ101,89,95.8,96
S341,Laura Wiggins,sball@example.com,IQ101,85.8,62.2,93
S342,Phillip Mann,pmann17@university.edu,IQ101,110,84.9,100
S343,Michael Peterson,mpeterson154@university.edu,IQ101,56.7,88,88
S344,Scott Mills,kenneth98@@green.net,IQ101,,72.8,95
S345,Cynthia Reed,creed676@university.edu,IQ201,85.7,84.2,77
S346,Tina Cuevas,xlane@example.com,IQ101,69.6,94.2,84
S347,Philip Smith,psmith45@university.edu,IQ101,58.8,86.6,95
S348,CHRISTOPHER SHIELDS,heather14,IQ101,83.9,73.7,96
S349,Lucas Massey,gilbertjoshua@example.com,IQ101,79.9,60.5,85
S350,Amber Nelson,anelson785@university.edu,IQ101,88.9,75.4,87
S351,James King,vstrong@example.com,IQ101,67.2,92.7,73
S352,Jill Flores,pvelez@example.org,IQ,64.4,58.3,84
S353,Mary Edwards,medwards705@university.edu,IQ101,51.7,86.5,97
S354,April Rodriguez,arodriguez600@university.edu,IQ101,55.8,102.5671185,94
S355,Katelyn Hill,khill283@university.edu,IQ101,43.8,101.7503892,93
S356,Robert Adams,radams571@university.edu,IQ102,78.2,76.6,88
S357,Anthony Kennedy,akennedy315@university.edu,IQ101,66.8,83.6,unknown
S358,Spencer Osborn,sosborn885@university.edu,IQ,74.4,,88
S359,Tami Evans,tevans166@university.edu,IQ101,76.7,80.1,81
S360,Jorge Duke,grahammichael@example.com,IQ101,69.5,77.2,95
S361,MATTHEW KANE,alexanderbrian@example.com,IQ,79.6,54.1,92
S362,Crystal Stevens,cstevens91@university.edu,IQ101,54.8,88.4,93
S363,Mr. Gabriel Chung,mchung394@university.edu,IQ101,77.6,75.4,83
S364,Donna Francis,dfrancis987@university.edu,IQ101,75.3,82.9,66
S365,ANTHONY COLLINS,mauricejohnson@example.org,IQ101,66.9,67.1,99
S366,James Fisher,jfisher803@university.edu,IQ101,77.9,64.3,83
S367,TERRY HICKMAN,thickman37@university.edu,IQ102,,54.2,
S368,Ana Richards,sandrahenry,IQ101,90.4,84.6,79
S369,Nicholas Smith,nsmith206@university.edu,IQ201,78.8,91.8,95
S370,Erin Washington,ewashington292@university.edu,IQ102,100,92.2,84
S371,Paula Flores,pflores836@university.edu,IQ101,47.4,60.1,99
S372,Mathew Ibarra,emily96@example.org,IQ101,65.6,78.4,94
S373,Heidi Mccullough,hmccullough75@university.edu,IQ101,82.8,67.8,95
S374,Ashley Hodges,ahodges264@university.edu,IQ101,77.8,67.4,
S375,Phillip Welch,pwelch990@university.edu,IQ101,65.8,58.3,74
S376,Amber Sutton,asutton795@university.edu,IQ101,61.2,115,100
S377,Benjamin Smith,bsmith120@university.edu,IQ201,60.4,,91
S378,Katherine Miller,kmiller719@university.edu,IQ101,60.8,114.8533489,84
S379,Cheryl Anderson,hobbsjoseph@example.net,IQ101,82.4,80.6,unknown
S380,Cindy Martinez,cmartinez841@university.edu,IQ101,62.1,87.8,89
S381,Michael Sanchez,msanchez224@university.edu,IQ101,66.4,79.7,70
S382,Edgar Lee,ethanmartinez@@lindsey-bell.org,IQ101,113.4012681,76.7,92
